entity_id,state_id,state,old_state_id,last_changed,last_updated,shared_attrs
light.wiz_bulb_2,123722,on,123403,,2022-11-06 20:27:04.866712,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""color_temp"",""brightness"":255,""color_temp_kelvin"":2702,""color_temp"":370,""hs_color"":[28.391,65.659],""rgb_color"":[255,166,87],""xy_color"":[0.526,0.387],""effect"":""Warm White"",""friendly_name"":""Wiz Bulb 2""}"
light.kitchen_lamp,123723,on,123404,,2022-11-06 20:27:04.872293,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""color_temp"",""brightness"":255,""color_temp_kelvin"":2702,""color_temp"":370,""hs_color"":[28.391,65.659],""rgb_color"":[255,166,87],""xy_color"":[0.526,0.387],""effect"":""Warm White"",""entity_id"":[""light.wiz_bulb1"",""light.wiz_bulb_2""],""icon"":""mdi:lightbulb-group"",""friendly_name"":""Kitchen Lamp""}"
light.wiz_bulb1,123724,on,123402,,2022-11-06 20:27:04.943580,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""color_temp"",""brightness"":255,""color_temp_kelvin"":2702,""color_temp"":370,""hs_color"":[28.391,65.659],""rgb_color"":[255,166,87],""xy_color"":[0.526,0.387],""effect"":""Warm White"",""friendly_name"":""Wiz Bulb 1""}"
light.wiz_bulb1,123737,on,123724,2022-11-06 20:27:04.943580,2022-11-06 20:31:29.666736,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""brightness"",""brightness"":255,""effect"":""Fall"",""friendly_name"":""Wiz Bulb 1""}"
light.kitchen_lamp,123739,on,123723,2022-11-06 20:27:04.872293,2022-11-06 20:31:29.671625,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""color_temp"",""brightness"":255,""color_temp_kelvin"":2702,""color_temp"":370,""hs_color"":[28.391,65.659],""rgb_color"":[255,166,87],""xy_color"":[0.526,0.387],""effect"":""Fall"",""entity_id"":[""light.wiz_bulb1"",""light.wiz_bulb_2""],""icon"":""mdi:lightbulb-group"",""friendly_name"":""Kitchen Lamp""}"
light.wiz_bulb_2,123740,on,123722,2022-11-06 20:27:04.866712,2022-11-06 20:31:29.762562,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""brightness"",""brightness"":255,""effect"":""Fall"",""friendly_name"":""Wiz Bulb 2""}"
light.kitchen_lamp,123742,on,123739,2022-11-06 20:27:04.872293,2022-11-06 20:31:29.767247,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""brightness"",""brightness"":255,""effect"":""Fall"",""entity_id"":[""light.wiz_bulb1"",""light.wiz_bulb_2""],""icon"":""mdi:lightbulb-group"",""friendly_name"":""Kitchen Lamp""}"
light.wiz_bulb_2,123951,off,123740,,2022-11-06 21:57:48.615074,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""friendly_name"":""Wiz Bulb 2""}"
light.wiz_bulb1,123952,off,123737,,2022-11-06 21:57:48.687786,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""friendly_name"":""Wiz Bulb 1""}"
light.kitchen_lamp,123953,off,123742,,2022-11-06 21:57:48.690472,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""entity_id"":[""light.wiz_bulb1"",""light.wiz_bulb_2""],""icon"":""mdi:lightbulb-group"",""friendly_name"":""Kitchen Lamp""}"
light.wiz_bulb3,124025,off,123411,,2022-11-06 22:47:02.478137,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""friendly_name"":""Wiz Bulb 3""}"
light.wiz_bulb4,124026,off,123408,,2022-11-06 22:47:02.483626,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""friendly_name"":""Wiz Bulb 4""}"
light.wiz_bulb5,124027,off,123413,,2022-11-06 22:47:02.489232,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""friendly_name"":""Wiz Bulb 5""}"
light.living_room_lamp,124028,off,123410,,2022-11-06 22:47:02.492487,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""entity_id"":[""light.wiz_bulb3"",""light.wiz_bulb4"",""light.wiz_bulb5""],""icon"":""mdi:lightbulb-group"",""friendly_name"":""Living Room Lamp""}"
light.wiz_bulb3,124029,on,124025,,2022-11-06 22:47:10.020361,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""brightness"",""brightness"":255,""effect"":""Fall"",""friendly_name"":""Wiz Bulb 3""}"
light.living_room_lamp,124030,on,124028,,2022-11-06 22:47:10.025824,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""brightness"",""brightness"":255,""effect"":""Fall"",""entity_id"":[""light.wiz_bulb3"",""light.wiz_bulb4"",""light.wiz_bulb5""],""icon"":""mdi:lightbulb-group"",""friendly_name"":""Living Room Lamp""}"
light.wiz_bulb5,124031,on,124027,,2022-11-06 22:47:10.028858,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""brightness"",""brightness"":255,""effect"":""Fall"",""friendly_name"":""Wiz Bulb 5""}"
light.wiz_bulb4,124032,on,124026,,2022-11-06 22:47:10.120843,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""brightness"",""brightness"":255,""effect"":""Fall"",""friendly_name"":""Wiz Bulb 4""}"
light.wiz_bulb4,124033,on,124032,2022-11-06 22:47:10.120843,2022-11-06 22:47:11.369050,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""brightness"",""brightness"":189,""effect"":""Fall"",""friendly_name"":""Wiz Bulb 4""}"
light.living_room_lamp,124034,on,124030,2022-11-06 22:47:10.025824,2022-11-06 22:47:11.372435,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""brightness"",""brightness"":233,""effect"":""Fall"",""entity_id"":[""light.wiz_bulb3"",""light.wiz_bulb4"",""light.wiz_bulb5""],""icon"":""mdi:lightbulb-group"",""friendly_name"":""Living Room Lamp""}"
light.wiz_bulb5,124035,on,124031,2022-11-06 22:47:10.028858,2022-11-06 22:47:11.378173,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""brightness"",""brightness"":189,""effect"":""Fall"",""friendly_name"":""Wiz Bulb 5""}"
light.wiz_bulb3,124036,on,124029,2022-11-06 22:47:10.020361,2022-11-06 22:47:11.387832,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""brightness"",""brightness"":189,""effect"":""Fall"",""friendly_name"":""Wiz Bulb 3""}"
light.living_room_lamp,124037,on,124034,2022-11-06 22:47:10.025824,2022-11-06 22:47:11.385972,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""brightness"",""brightness"":211,""effect"":""Fall"",""entity_id"":[""light.wiz_bulb3"",""light.wiz_bulb4"",""light.wiz_bulb5""],""icon"":""mdi:lightbulb-group"",""friendly_name"":""Living Room Lamp""}"
light.living_room_lamp,124038,on,124037,2022-11-06 22:47:10.025824,2022-11-06 22:47:11.405540,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""brightness"",""brightness"":189,""effect"":""Fall"",""entity_id"":[""light.wiz_bulb3"",""light.wiz_bulb4"",""light.wiz_bulb5""],""icon"":""mdi:lightbulb-group"",""friendly_name"":""Living Room Lamp""}"
light.wiz_bulb4,124039,off,124033,,2022-11-06 22:47:12.370998,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""friendly_name"":""Wiz Bulb 4""}"
light.wiz_bulb3,124040,off,124036,,2022-11-06 22:47:12.379476,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""friendly_name"":""Wiz Bulb 3""}"
light.wiz_bulb5,124041,off,124035,,2022-11-06 22:47:12.384208,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""friendly_name"":""Wiz Bulb 5""}"
light.living_room_lamp,124042,off,124038,,2022-11-06 22:47:12.386555,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""entity_id"":[""light.wiz_bulb3"",""light.wiz_bulb4"",""light.wiz_bulb5""],""icon"":""mdi:lightbulb-group"",""friendly_name"":""Living Room Lamp""}"
light.br_bulb1,124043,on,123424,,2022-11-06 22:47:13.033486,"{""min_color_temp_kelvin"":1700,""max_color_temp_kelvin"":6535,""color_mode"":""color_temp"",""brightness"":255,""color_temp_kelvin"":2702,""color_temp"":370,""hs_color"":[28.391,65.659],""rgb_color"":[255,166,87],""xy_color"":[0.526,0.387],""flowing"":false,""music_mode"":false,""friendly_name"":""Bedroom Lamp""}"
light.br_bulb1,124044,on,124043,2022-11-06 22:47:13.033486,2022-11-06 22:47:14.643872,"{""min_color_temp_kelvin"":1700,""max_color_temp_kelvin"":6535,""color_mode"":""color_temp"",""brightness"":153,""color_temp_kelvin"":2702,""color_temp"":370,""hs_color"":[28.391,65.659],""rgb_color"":[255,166,87],""xy_color"":[0.526,0.387],""flowing"":false,""music_mode"":false,""friendly_name"":""Bedroom Lamp""}"
light.br_bulb1,124045,on,124044,2022-11-06 22:47:13.033486,2022-11-06 22:47:15.527696,"{""min_color_temp_kelvin"":1700,""max_color_temp_kelvin"":6535,""color_mode"":""color_temp"",""brightness"":102,""color_temp_kelvin"":2702,""color_temp"":370,""hs_color"":[28.391,65.659],""rgb_color"":[255,166,87],""xy_color"":[0.526,0.387],""flowing"":false,""music_mode"":false,""friendly_name"":""Bedroom Lamp""}"
light.br_bulb1,124123,off,124045,,2022-11-06 23:25:19.238170,"{""min_color_temp_kelvin"":1700,""max_color_temp_kelvin"":6535,""flowing"":false,""music_mode"":false,""friendly_name"":""Bedroom Lamp""}"
light.br_bulb1,125050,on,124123,,2022-11-07 05:45:00.080539,"{""min_color_temp_kelvin"":1700,""max_color_temp_kelvin"":6535,""color_mode"":""color_temp"",""brightness"":102,""color_temp_kelvin"":2702,""color_temp"":370,""hs_color"":[28.391,65.659],""rgb_color"":[255,166,87],""xy_color"":[0.526,0.387],""flowing"":false,""music_mode"":false,""friendly_name"":""Bedroom Lamp""}"
light.br_bulb1,125051,on,125050,2022-11-07 05:45:00.080539,2022-11-07 05:45:00.112677,"{""min_color_temp_kelvin"":1700,""max_color_temp_kelvin"":6535,""color_mode"":""color_temp"",""brightness"":102,""color_temp_kelvin"":2702,""color_temp"":370,""hs_color"":[28.391,65.659],""rgb_color"":[255,166,87],""xy_color"":[0.526,0.387],""flowing"":true,""music_mode"":false,""friendly_name"":""Bedroom Lamp""}"
